Sample,Value,Unit_barplot_annotation,Annotation_1_label,Annotation_1_Symbol,Annotation_2_label,Annotation_2_Symbol
Irg1^fl/fl,1.2028,Irg1 (fold change),LPS,NO,poly(I:C),NO
Irg1^fl/fl,2618.772,,,3h,,NO
Irg1^fl/fl,4265.2533,,,6h,,NO
Irg1^fl/fl,807.2696,,,NO,,3h
Irg1^fl/fl,1566.7706,,,NO,,6h
Irg1^fl/fl,0.8314,,,NO,,NO
Irg1^fl/fl,2158.2976,,,3h,,NO
Irg1^fl/fl,3598.0048,,,6h,,NO
Irg1^fl/fl,613.5912,,,NO,,3h
Irg1^fl/fl,1341.0535,,,NO,,6h
LysMCre-Irg1^fl/fl,6.1608,,,NO,,NO
LysMCre-Irg1^fl/fl,3146.204,,,3h,,NO
LysMCre-Irg1^fl/fl,5200.3493,,,6h,,NO
LysMCre-Irg1^fl/fl,1968.594,,,NO,,3h
LysMCre-Irg1^fl/fl,2133.6641,,,NO,,6h
LysMCre-Irg1^fl/fl,1.3878,,,NO,,NO
LysMCre-Irg1^fl/fl,2030.1288,,,3h,,NO
LysMCre-Irg1^fl/fl,4919.0948,,,6h,,NO
LysMCre-Irg1^fl/fl,1149.3966,,,NO,,3h
LysMCre-Irg1^fl/fl,2266.519,,,NO,,6h
